clq-(5,0)-(1,0)-239-fc7b7155	[vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-143-4-6]	Δ = 239	Δ+28n = 239	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 2], [1, 1, 1, 1, 2], [1, 1, 1, 1, 2], [1, 1, 1, 1, 2], [2, 2, 2, 2, 4]]	b0.bi = [3, 3, 3, 3, 6]	(1) : 2 x (irr-C2-5)	(2) : 2 x (irr-C2-5)	(3) : 2 x (irr-C2-5)	(4) : 2 x (irr-C2-5)	(5) : 5 x (irr-C2-5)	(1,2) : 1 x (irr-C2-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 2 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-C2-4, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(3,5) : 2 x (irr-C2-4, irr-C2-4)	(1,4) : 1 x (irr-C2-4, irr-C2-4)	(2,5) : 2 x (irr-C2-4, irr-C2-4)	(1,5) : 2 x (irr-C2-4, irr-C2-4)
clq-(5,0)-(1,0)-240-d8f374d4	[vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3]	Δ = 240	Δ+28n = 240	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3, 3]	(1) : 4 x (irr-C2-4) + 2 x (irr-C2-5)	(2) : 4 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 4 x (irr-C2-4) + 2 x (irr-C2-5)	(4) : 4 x (irr-C2-4) + 2 x (irr-C2-5)	(5) : 4 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-C2-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 1 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-C2-4, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(3,5) : 1 x (irr-C2-4, irr-C2-4)	(1,4) : 1 x (irr-C2-4, irr-C2-4)	(2,5) : 1 x (irr-C2-4, irr-C2-4)	(1,5) : 1 x (irr-C2-4, irr-C2-4)
clq-(5,0)-(1,0)-242-31dfcee4	[vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C04-146-1-3]	Δ = 242	Δ+28n = 242	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3, 3]	(1) : 2 x (irr-C2-5)	(2) : 2 x (irr-C2-5)	(3) : 2 x (irr-C2-5)	(4) : 2 x (irr-C2-5)	(5) : 2 x (irr-C4-27)	(1,2) : 1 x (irr-C2-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 1 x (irr-C2-4, irr-C4-8)	(1,3) : 1 x (irr-C2-4, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(3,5) : 1 x (irr-C2-4, irr-C4-8)	(1,4) : 1 x (irr-C2-4, irr-C2-4)	(2,5) : 1 x (irr-C2-4, irr-C4-8)	(1,5) : 1 x (irr-C2-4, irr-C4-8)
clq-(5,0)-(1,0)-242-117d0ec1	[vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C03-115-1-3, vtx-C03-115-1-3]	Δ = 242	Δ+28n = 242	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3, 3]	(1) : 2 x (irr-C2-5)	(2) : 2 x (irr-C2-5)	(3) : 2 x (irr-C2-5)	(4) : 2 x (irr-C3-14a)	(5) : 2 x (irr-C3-14a)	(1,2) : 1 x (irr-C2-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C3-6)	(4,5) : 1 x (irr-C3-6, irr-C3-6)	(1,3) : 1 x (irr-C2-4, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C3-6)	(3,5) : 1 x (irr-C2-4, irr-C3-6)	(1,4) : 1 x (irr-C2-4, irr-C3-6)	(2,5) : 1 x (irr-C2-4, irr-C3-6)	(1,5) : 1 x (irr-C2-4, irr-C3-6)
clq-(5,0)-(1,0)-242-756f8314	[vtx-A03-83-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-143-4-6]	Δ = 242	Δ+28n = 242	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 2], [1, 1, 1, 1, 2], [1, 1, 1, 1, 2], [1, 1, 1, 1, 2], [2, 2, 2, 2, 4]]	b0.bi = [3, 3, 3, 3, 6]	(1) : 3 x (irr-A3-6)	(2) : 2 x (irr-C2-5)	(3) : 2 x (irr-C2-5)	(4) : 2 x (irr-C2-5)	(5) : 5 x (irr-C2-5)	(1,2) : 1 x (irr-A3-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 2 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-A3-4, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(3,5) : 2 x (irr-C2-4, irr-C2-4)	(1,4) : 1 x (irr-A3-4, irr-C2-4)	(2,5) : 2 x (irr-C2-4, irr-C2-4)	(1,5) : 2 x (irr-A3-4, irr-C2-4)
clq-(5,0)-(1,0)-243-02b1dd51	[vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C03-115-1-3]	Δ = 243	Δ+28n = 243	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3, 3]	(1) : 2 x (irr-C2-4) + 2 x (irr-C2-5)	(2) : 2 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 2 x (irr-C2-4) + 2 x (irr-C2-5)	(4) : 2 x (irr-C2-4) + 2 x (irr-C2-5)	(5) : 2 x (irr-C3-6) + 2 x (irr-C3-14a)	(1,2) : 1 x (irr-C2-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 1 x (irr-C2-4, irr-C3-6)	(1,3) : 1 x (irr-C2-4, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(3,5) : 1 x (irr-C2-4, irr-C3-6)	(1,4) : 1 x (irr-C2-4, irr-C2-4)	(2,5) : 1 x (irr-C2-4, irr-C3-6)	(1,5) : 1 x (irr-C2-4, irr-C3-6)
clq-(5,0)-(1,0)-243-6646e937	[vtx-A03-83-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3]	Δ = 243	Δ+28n = 243	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3, 3]	(1) : 4 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 4 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 4 x (irr-C2-4) + 2 x (irr-C2-5)	(4) : 4 x (irr-C2-4) + 2 x (irr-C2-5)	(5) : 4 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A3-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 1 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-A3-4, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(3,5) : 1 x (irr-C2-4, irr-C2-4)	(1,4) : 1 x (irr-A3-4, irr-C2-4)	(2,5) : 1 x (irr-C2-4, irr-C2-4)	(1,5) : 1 x (irr-A3-4, irr-C2-4)
clq-(5,0)-(1,0)-245-71de8e74	[vtx-A03-83-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C04-146-1-3]	Δ = 245	Δ+28n = 245	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3, 3]	(1) : 3 x (irr-A3-6)	(2) : 2 x (irr-C2-5)	(3) : 2 x (irr-C2-5)	(4) : 2 x (irr-C2-5)	(5) : 2 x (irr-C4-27)	(1,2) : 1 x (irr-A3-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 1 x (irr-C2-4, irr-C4-8)	(1,3) : 1 x (irr-A3-4, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(3,5) : 1 x (irr-C2-4, irr-C4-8)	(1,4) : 1 x (irr-A3-4, irr-C2-4)	(2,5) : 1 x (irr-C2-4, irr-C4-8)	(1,5) : 1 x (irr-A3-4, irr-C4-8)
clq-(5,0)-(1,0)-245-7fc59b37	[vtx-A03-83-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C03-115-1-3, vtx-C03-115-1-3]	Δ = 245	Δ+28n = 245	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3, 3]	(1) : 3 x (irr-A3-6)	(2) : 2 x (irr-C2-5)	(3) : 2 x (irr-C2-5)	(4) : 2 x (irr-C3-14a)	(5) : 2 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C3-6)	(4,5) : 1 x (irr-C3-6, irr-C3-6)	(1,3) : 1 x (irr-A3-4, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C3-6)	(3,5) : 1 x (irr-C2-4, irr-C3-6)	(1,4) : 1 x (irr-A3-4, irr-C3-6)	(2,5) : 1 x (irr-C2-4, irr-C3-6)	(1,5) : 1 x (irr-A3-4, irr-C3-6)
clq-(5,0)-(1,0)-245-50c155b2	[vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-143-4-6]	Δ = 245	Δ+28n = 245	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 2], [1, 1, 1, 1, 2], [1, 1, 1, 1, 2], [1, 1, 1, 1, 2], [2, 2, 2, 2, 4]]	b0.bi = [3, 3, 3, 3, 6]	(1) : 3 x (irr-A3-6)	(2) : 3 x (irr-A3-6)	(3) : 2 x (irr-C2-5)	(4) : 2 x (irr-C2-5)	(5) : 5 x (irr-C2-5)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(2,3) : 1 x (irr-A3-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 2 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-A3-4, irr-C2-4)	(2,4) : 1 x (irr-A3-4, irr-C2-4)	(3,5) : 2 x (irr-C2-4, irr-C2-4)	(1,4) : 1 x (irr-A3-4, irr-C2-4)	(2,5) : 2 x (irr-A3-4, irr-C2-4)	(1,5) : 2 x (irr-A3-4, irr-C2-4)
