vtx-C02-80-1-3	Δ = 80	bi.bi = 1	b0.bi = 3	20 x (irr-C2-4) + 2 x (irr-C2-5)
vtx-C02-143-4-6	Δ = 143	bi.bi = 4	b0.bi = 6	32 x (irr-C2-4) + 5 x (irr-C2-5)
vtx-C02-189-9-9	Δ = 189	bi.bi = 9	b0.bi = 9	36 x (irr-C2-4) + 9 x (irr-C2-5) + 1 x (irr-C2-10)
vtx-C02-196-9-9	Δ = 196	bi.bi = 9	b0.bi = 9	42 x (irr-C2-4) + 6 x (irr-C2-5) + 1 x (irr-C2-16-h)
vtx-C02-218-16-12	Δ = 218	bi.bi = 16	b0.bi = 12	32 x (irr-C2-4) + 14 x (irr-C2-5) + 3 x (irr-C2-10)
vtx-C02-225-16-12	Δ = 225	bi.bi = 16	b0.bi = 12	38 x (irr-C2-4) + 11 x (irr-C2-5) + 1 x (irr-C2-16-h) + 2 x (irr-C2-10)
vtx-C02-225-36-18	Δ = 225	bi.bi = 36	b0.bi = 18	27 x (irr-C2-5) + 10 x (irr-C2-10)
vtx-C02-230-25-15	Δ = 230	bi.bi = 25	b0.bi = 15	20 x (irr-C2-4) + 20 x (irr-C2-5) + 6 x (irr-C2-10)
vtx-C02-232-16-12	Δ = 232	bi.bi = 16	b0.bi = 12	44 x (irr-C2-4) + 8 x (irr-C2-5) + 2 x (irr-C2-16-h) + 1 x (irr-C2-10)
vtx-C02-232-36-18	Δ = 232	bi.bi = 36	b0.bi = 18	6 x (irr-C2-4) + 24 x (irr-C2-5) + 1 x (irr-C2-16-h) + 9 x (irr-C2-10)
vtx-C02-234-81-27	Δ = 234	bi.bi = 81	b0.bi = 27	18 x (irr-C2-16-h) + 10 x (irr-C2-10)
vtx-C02-237-25-15	Δ = 237	bi.bi = 25	b0.bi = 15	26 x (irr-C2-4) + 17 x (irr-C2-5) + 1 x (irr-C2-16-h) + 5 x (irr-C2-10)
vtx-C02-238-49-21	Δ = 238	bi.bi = 49	b0.bi = 21	2 x (irr-C2-4) + 20 x (irr-C2-5) + 5 x (irr-C2-16-h) + 10 x (irr-C2-10)
vtx-C02-239-16-12	Δ = 239	bi.bi = 16	b0.bi = 12	50 x (irr-C2-4) + 5 x (irr-C2-5) + 3 x (irr-C2-16-h)
vtx-C02-239-36-18	Δ = 239	bi.bi = 36	b0.bi = 18	12 x (irr-C2-4) + 21 x (irr-C2-5) + 2 x (irr-C2-16-h) + 8 x (irr-C2-10)
vtx-C02-241-64-24	Δ = 241	bi.bi = 64	b0.bi = 24	2 x (irr-C2-4) + 11 x (irr-C2-5) + 11 x (irr-C2-16-h) + 10 x (irr-C2-10)
vtx-C02-241-81-27	Δ = 241	bi.bi = 81	b0.bi = 27	2 x (irr-C2-4) + 1 x (irr-C2-5) + 13 x (irr-C2-16-h) + 12 x (irr-C2-10) + 1 x (irr-C2-14)
vtx-C02-244-25-15	Δ = 244	bi.bi = 25	b0.bi = 15	32 x (irr-C2-4) + 14 x (irr-C2-5) + 2 x (irr-C2-16-h) + 4 x (irr-C2-10)
vtx-C02-244-100-30	Δ = 244	bi.bi = 100	b0.bi = 30	1 x (irr-C2-4) + 17 x (irr-C2-16-h) + 8 x (irr-C2-10) + 1 x (irr-C2-14) + 1 x (irr-C2-20)
vtx-C02-245-49-21-a	Δ = 245	bi.bi = 49	b0.bi = 21	4 x (irr-C2-4) + 21 x (irr-C2-5) + 12 x (irr-C2-10) + 1 x (irr-C2-14)
vtx-C02-245-49-21-b	Δ = 245	bi.bi = 49	b0.bi = 21	8 x (irr-C2-4) + 17 x (irr-C2-5) + 6 x (irr-C2-16-h) + 9 x (irr-C2-10)
vtx-C02-246-36-18	Δ = 246	bi.bi = 36	b0.bi = 18	18 x (irr-C2-4) + 18 x (irr-C2-5) + 3 x (irr-C2-16-h) + 7 x (irr-C2-10)
vtx-C02-248-64-24-a	Δ = 248	bi.bi = 64	b0.bi = 24	16 x (irr-C2-5) + 15 x (irr-C2-10) + 2 x (irr-C2-14)
vtx-C02-248-64-24-b	Δ = 248	bi.bi = 64	b0.bi = 24	8 x (irr-C2-4) + 8 x (irr-C2-5) + 12 x (irr-C2-16-h) + 9 x (irr-C2-10)
vtx-C02-248-64-24-c	Δ = 248	bi.bi = 64	b0.bi = 24	4 x (irr-C2-4) + 12 x (irr-C2-5) + 6 x (irr-C2-16-h) + 12 x (irr-C2-10) + 1 x (irr-C2-14)
vtx-C02-248-81-27-a	Δ = 248	bi.bi = 81	b0.bi = 27	6 x (irr-C2-5) + 2 x (irr-C2-16-h) + 17 x (irr-C2-10) + 3 x (irr-C2-14)
vtx-C02-248-81-27-b	Δ = 248	bi.bi = 81	b0.bi = 27	4 x (irr-C2-4) + 2 x (irr-C2-5) + 8 x (irr-C2-16-h) + 14 x (irr-C2-10) + 2 x (irr-C2-14)
vtx-C02-249-144-36	Δ = 249	bi.bi = 144	b0.bi = 36	23 x (irr-C2-16-h) + 2 x (irr-C2-20) + 1 x (irr-C2-35a)
vtx-C02-250-289-51	Δ = 250	bi.bi = 289	b0.bi = 51	1 x (irr-C2-5) + 2 x (irr-C2-20) + 2 x (irr-C2-40-h) + 5 x (irr-C2-35a)
vtx-C02-251-25-15	Δ = 251	bi.bi = 25	b0.bi = 15	38 x (irr-C2-4) + 11 x (irr-C2-5) + 3 x (irr-C2-16-h) + 3 x (irr-C2-10)
vtx-C02-251-100-30	Δ = 251	bi.bi = 100	b0.bi = 30	3 x (irr-C2-4) + 1 x (irr-C2-5) + 12 x (irr-C2-16-h) + 10 x (irr-C2-10) + 2 x (irr-C2-14) + 1 x (irr-C2-20)
vtx-C02-252-49-21-a	Δ = 252	bi.bi = 49	b0.bi = 21	14 x (irr-C2-4) + 14 x (irr-C2-5) + 7 x (irr-C2-16-h) + 8 x (irr-C2-10)
vtx-C02-252-49-21-b	Δ = 252	bi.bi = 49	b0.bi = 21	10 x (irr-C2-4) + 18 x (irr-C2-5) + 1 x (irr-C2-16-h) + 11 x (irr-C2-10) + 1 x (irr-C2-14)
vtx-C02-253-36-18	Δ = 253	bi.bi = 36	b0.bi = 18	24 x (irr-C2-4) + 15 x (irr-C2-5) + 4 x (irr-C2-16-h) + 6 x (irr-C2-10)
vtx-C02-254-81-27	Δ = 254	bi.bi = 81	b0.bi = 27	3 x (irr-C2-4) + 12 x (irr-C2-5) + 14 x (irr-C2-16-h) + 6 x (irr-C2-10) + 1 x (irr-C2-20)
vtx-C02-254-144-36	Δ = 254	bi.bi = 144	b0.bi = 36	6 x (irr-C2-5) + 14 x (irr-C2-16-h) + 3 x (irr-C2-14) + 4 x (irr-C2-20)
vtx-C02-255-64-24-a	Δ = 255	bi.bi = 64	b0.bi = 24	14 x (irr-C2-4) + 5 x (irr-C2-5) + 13 x (irr-C2-16-h) + 8 x (irr-C2-10)
vtx-C02-255-64-24-b	Δ = 255	bi.bi = 64	b0.bi = 24	10 x (irr-C2-4) + 9 x (irr-C2-5) + 7 x (irr-C2-16-h) + 11 x (irr-C2-10) + 1 x (irr-C2-14)
vtx-C02-255-64-24-c	Δ = 255	bi.bi = 64	b0.bi = 24	6 x (irr-C2-4) + 13 x (irr-C2-5) + 1 x (irr-C2-16-h) + 14 x (irr-C2-10) + 2 x (irr-C2-14)
vtx-C02-255-81-27	Δ = 255	bi.bi = 81	b0.bi = 27	6 x (irr-C2-4) + 3 x (irr-C2-5) + 3 x (irr-C2-16-h) + 16 x (irr-C2-10) + 3 x (irr-C2-14)
vtx-C02-255-169-39	Δ = 255	bi.bi = 169	b0.bi = 39	1 x (irr-C2-4) + 3 x (irr-C2-5) + 1 x (irr-C2-16-h) + 4 x (irr-C2-10) + 7 x (irr-C2-14) + 5 x (irr-C2-20)
vtx-C02-255-225-45	Δ = 255	bi.bi = 225	b0.bi = 45	10 x (irr-C2-16-h) + 1 x (irr-C2-10) + 5 x (irr-C2-35a)
vtx-C02-256-144-36	Δ = 256	bi.bi = 144	b0.bi = 36	2 x (irr-C2-4) + 1 x (irr-C2-5) + 18 x (irr-C2-16-h) + 2 x (irr-C2-10) + 1 x (irr-C2-14) + 2 x (irr-C2-20) + 1 x (irr-C2-35a)
vtx-C02-257-100-30	Δ = 257	bi.bi = 100	b0.bi = 30	2 x (irr-C2-4) + 11 x (irr-C2-5) + 18 x (irr-C2-16-h) + 2 x (irr-C2-10) + 2 x (irr-C2-20)
vtx-C02-257-121-33	Δ = 257	bi.bi = 121	b0.bi = 33	1 x (irr-C2-4) + 9 x (irr-C2-5) + 18 x (irr-C2-16-h) + 1 x (irr-C2-14) + 3 x (irr-C2-20)
vtx-C02-258-25-15	Δ = 258	bi.bi = 25	b0.bi = 15	44 x (irr-C2-4) + 8 x (irr-C2-5) + 4 x (irr-C2-16-h) + 2 x (irr-C2-10)
vtx-C02-258-49-21	Δ = 258	bi.bi = 49	b0.bi = 21	5 x (irr-C2-4) + 32 x (irr-C2-5) + 1 x (irr-C2-16-h) + 6 x (irr-C2-10) + 1 x (irr-C2-20)
vtx-C02-258-100-30-a	Δ = 258	bi.bi = 100	b0.bi = 30	5 x (irr-C2-4) + 2 x (irr-C2-5) + 7 x (irr-C2-16-h) + 12 x (irr-C2-10) + 3 x (irr-C2-14) + 1 x (irr-C2-20)
vtx-C02-258-100-30-b	Δ = 258	bi.bi = 100	b0.bi = 30	1 x (irr-C2-4) + 6 x (irr-C2-5) + 1 x (irr-C2-16-h) + 15 x (irr-C2-10) + 4 x (irr-C2-14) + 1 x (irr-C2-20)
vtx-C02-258-121-33-a	Δ = 258	bi.bi = 121	b0.bi = 33	4 x (irr-C2-5) + 1 x (irr-C2-16-h) + 13 x (irr-C2-10) + 5 x (irr-C2-14) + 2 x (irr-C2-20)
vtx-C02-258-121-33-b	Δ = 258	bi.bi = 121	b0.bi = 33	4 x (irr-C2-4) + 7 x (irr-C2-16-h) + 10 x (irr-C2-10) + 4 x (irr-C2-14) + 2 x (irr-C2-20)
vtx-C02-258-144-36	Δ = 258	bi.bi = 144	b0.bi = 36	16 x (irr-C2-16-h) + 7 x (irr-C2-10) + 2 x (irr-C2-35a)
vtx-C02-258-225-45	Δ = 258	bi.bi = 225	b0.bi = 45	1 x (irr-C2-4) + 2 x (irr-C2-5) + 1 x (irr-C2-16-h) + 2 x (irr-C2-10) + 4 x (irr-C2-14) + 4 x (irr-C2-20) + 1 x (irr-C2-40-h) + 2 x (irr-C2-35a)
