vtx-A04-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-A4-24)
vtx-A04-1-0-0	Δ = 1	bi.bi = 0	b0.bi = 0	1 x (irr-A4-10) + 1 x (irr-A4-15)
vtx-A04-26-n2-0	Δ = 26	bi.bi = -2	b0.bi = 0	10 x (irr-A4-5)
vtx-A04-51-n1-1	Δ = 51	bi.bi = -1	b0.bi = 1	13 x (irr-A4-5) + 1 x (irr-A4-10)
vtx-A04-76-0-2	Δ = 76	bi.bi = 0	b0.bi = 2	16 x (irr-A4-5) + 2 x (irr-A4-10)
vtx-A04-25-1-1	Δ = 25	bi.bi = 1	b0.bi = 1	3 x (irr-A4-5) + 1 x (irr-A4-10) + 1 x (irr-A4-24)
vtx-A04-26-1-1	Δ = 26	bi.bi = 1	b0.bi = 1	3 x (irr-A4-5) + 2 x (irr-A4-10) + 1 x (irr-A4-15)
vtx-A04-50-2-2	Δ = 50	bi.bi = 2	b0.bi = 2	6 x (irr-A4-5) + 2 x (irr-A4-10) + 1 x (irr-A4-24)
vtx-A04-50-10-4	Δ = 50	bi.bi = 10	b0.bi = 4	2 x (irr-A4-5) + 1 x (irr-A4-24) + 1 x (irr-A4-40)
vtx-A04-51-2-2	Δ = 51	bi.bi = 2	b0.bi = 2	6 x (irr-A4-5) + 3 x (irr-A4-10) + 1 x (irr-A4-15)
vtx-A04-51-10-4-a	Δ = 51	bi.bi = 10	b0.bi = 4	3 x (irr-A4-5) + 1 x (irr-A4-15) + 1 x (irr-A4-45)
vtx-A04-51-10-4-b	Δ = 51	bi.bi = 10	b0.bi = 4	2 x (irr-A4-5) + 1 x (irr-A4-10) + 1 x (irr-A4-15) + 1 x (irr-A4-40)
vtx-A04-74-6-4	Δ = 74	bi.bi = 6	b0.bi = 4	2 x (irr-A4-5) + 4 x (irr-A4-10) + 2 x (irr-A4-24)
vtx-A04-75-3-3	Δ = 75	bi.bi = 3	b0.bi = 3	9 x (irr-A4-5) + 3 x (irr-A4-10) + 1 x (irr-A4-24)
vtx-A04-75-6-4	Δ = 75	bi.bi = 6	b0.bi = 4	2 x (irr-A4-5) + 5 x (irr-A4-10) + 1 x (irr-A4-15) + 1 x (irr-A4-24)
vtx-A04-75-11-5-a	Δ = 75	bi.bi = 11	b0.bi = 5	5 x (irr-A4-5) + 1 x (irr-A4-10) + 1 x (irr-A4-24) + 1 x (irr-A4-40)
vtx-A04-75-11-5-b	Δ = 75	bi.bi = 11	b0.bi = 5	6 x (irr-A4-5) + 1 x (irr-A4-24) + 1 x (irr-A4-45)
vtx-A04-76-3-3	Δ = 76	bi.bi = 3	b0.bi = 3	9 x (irr-A4-5) + 4 x (irr-A4-10) + 1 x (irr-A4-15)
vtx-A04-76-6-4	Δ = 76	bi.bi = 6	b0.bi = 4	2 x (irr-A4-5) + 6 x (irr-A4-10) + 2 x (irr-A4-15)
vtx-A04-76-8-4	Δ = 76	bi.bi = 8	b0.bi = 4	12 x (irr-A4-5) + 1 x (irr-A4-40)
vtx-A04-76-11-5-a	Δ = 76	bi.bi = 11	b0.bi = 5	6 x (irr-A4-5) + 1 x (irr-A4-10) + 1 x (irr-A4-15) + 1 x (irr-A4-45)
vtx-A04-76-11-5-b	Δ = 76	bi.bi = 11	b0.bi = 5	5 x (irr-A4-5) + 2 x (irr-A4-10) + 1 x (irr-A4-15) + 1 x (irr-A4-40)
vtx-A04-76-19-7	Δ = 76	bi.bi = 19	b0.bi = 7	1 x (irr-A4-5) + 1 x (irr-A4-15) + 2 x (irr-A4-40)
vtx-A04-99-7-5	Δ = 99	bi.bi = 7	b0.bi = 5	5 x (irr-A4-5) + 5 x (irr-A4-10) + 2 x (irr-A4-24)
vtx-A04-99-15-7-a	Δ = 99	bi.bi = 15	b0.bi = 7	1 x (irr-A4-5) + 3 x (irr-A4-10) + 2 x (irr-A4-24) + 1 x (irr-A4-40)
vtx-A04-99-15-7-b	Δ = 99	bi.bi = 15	b0.bi = 7	2 x (irr-A4-5) + 2 x (irr-A4-10) + 2 x (irr-A4-24) + 1 x (irr-A4-45)
vtx-A04-100-4-4	Δ = 100	bi.bi = 4	b0.bi = 4	12 x (irr-A4-5) + 4 x (irr-A4-10) + 1 x (irr-A4-24)
vtx-A04-100-7-5	Δ = 100	bi.bi = 7	b0.bi = 5	5 x (irr-A4-5) + 6 x (irr-A4-10) + 1 x (irr-A4-15) + 1 x (irr-A4-24)
vtx-A04-100-12-6-a	Δ = 100	bi.bi = 12	b0.bi = 6	9 x (irr-A4-5) + 1 x (irr-A4-10) + 1 x (irr-A4-24) + 1 x (irr-A4-45)
vtx-A04-100-12-6-b	Δ = 100	bi.bi = 12	b0.bi = 6	8 x (irr-A4-5) + 2 x (irr-A4-10) + 1 x (irr-A4-24) + 1 x (irr-A4-40)
vtx-A04-100-15-7-a	Δ = 100	bi.bi = 15	b0.bi = 7	2 x (irr-A4-5) + 3 x (irr-A4-10) + 1 x (irr-A4-15) + 1 x (irr-A4-24) + 1 x (irr-A4-45)
vtx-A04-100-15-7-b	Δ = 100	bi.bi = 15	b0.bi = 7	1 x (irr-A4-5) + 4 x (irr-A4-10) + 1 x (irr-A4-15) + 1 x (irr-A4-24) + 1 x (irr-A4-40)
vtx-A04-100-20-8	Δ = 100	bi.bi = 20	b0.bi = 8	4 x (irr-A4-5) + 1 x (irr-A4-24) + 2 x (irr-A4-40)
vtx-A04-101-1-3	Δ = 101	bi.bi = 1	b0.bi = 3	19 x (irr-A4-5) + 3 x (irr-A4-10)
vtx-A04-101-4-4	Δ = 101	bi.bi = 4	b0.bi = 4	12 x (irr-A4-5) + 5 x (irr-A4-10) + 1 x (irr-A4-15)
vtx-A04-101-7-5	Δ = 101	bi.bi = 7	b0.bi = 5	5 x (irr-A4-5) + 7 x (irr-A4-10) + 2 x (irr-A4-15)
vtx-A04-101-9-5-a	Δ = 101	bi.bi = 9	b0.bi = 5	16 x (irr-A4-5) + 1 x (irr-A4-45)
vtx-A04-101-9-5-b	Δ = 101	bi.bi = 9	b0.bi = 5	15 x (irr-A4-5) + 1 x (irr-A4-10) + 1 x (irr-A4-40)
vtx-A04-101-12-6-a	Δ = 101	bi.bi = 12	b0.bi = 6	9 x (irr-A4-5) + 2 x (irr-A4-10) + 1 x (irr-A4-15) + 1 x (irr-A4-45)
vtx-A04-101-12-6-b	Δ = 101	bi.bi = 12	b0.bi = 6	8 x (irr-A4-5) + 3 x (irr-A4-10) + 1 x (irr-A4-15) + 1 x (irr-A4-40)
vtx-A04-101-15-7-a	Δ = 101	bi.bi = 15	b0.bi = 7	2 x (irr-A4-5) + 4 x (irr-A4-10) + 2 x (irr-A4-15) + 1 x (irr-A4-45)
vtx-A04-101-15-7-b	Δ = 101	bi.bi = 15	b0.bi = 7	1 x (irr-A4-5) + 5 x (irr-A4-10) + 2 x (irr-A4-15) + 1 x (irr-A4-40)
vtx-A04-101-20-8-a	Δ = 101	bi.bi = 20	b0.bi = 8	4 x (irr-A4-5) + 1 x (irr-A4-10) + 1 x (irr-A4-15) + 2 x (irr-A4-40)
vtx-A04-101-20-8-b	Δ = 101	bi.bi = 20	b0.bi = 8	5 x (irr-A4-5) + 1 x (irr-A4-15) + 1 x (irr-A4-40) + 1 x (irr-A4-45)
vtx-A04-101-30-10	Δ = 101	bi.bi = 30	b0.bi = 10	5 x (irr-A4-15) + 1 x (irr-A4-50)
vtx-A04-101-44-12	Δ = 101	bi.bi = 44	b0.bi = 12	1 x (irr-A4-5) + 1 x (irr-A4-10) + 1 x (irr-A4-35) + 1 x (irr-A4-75)
vtx-A04-123-11-7	Δ = 123	bi.bi = 11	b0.bi = 7	1 x (irr-A4-5) + 7 x (irr-A4-10) + 3 x (irr-A4-24)
vtx-A04-124-8-6	Δ = 124	bi.bi = 8	b0.bi = 6	8 x (irr-A4-5) + 6 x (irr-A4-10) + 2 x (irr-A4-24)
vtx-A04-124-11-7	Δ = 124	bi.bi = 11	b0.bi = 7	1 x (irr-A4-5) + 8 x (irr-A4-10) + 1 x (irr-A4-15) + 2 x (irr-A4-24)
vtx-A04-124-16-8-a	Δ = 124	bi.bi = 16	b0.bi = 8	4 x (irr-A4-5) + 4 x (irr-A4-10) + 2 x (irr-A4-24) + 1 x (irr-A4-40)
vtx-A04-124-16-8-b	Δ = 124	bi.bi = 16	b0.bi = 8	5 x (irr-A4-5) + 3 x (irr-A4-10) + 2 x (irr-A4-24) + 1 x (irr-A4-45)
vtx-A04-124-24-10-a	Δ = 124	bi.bi = 24	b0.bi = 10	2 x (irr-A4-5) + 2 x (irr-A4-24) + 2 x (irr-A4-45)
vtx-A04-124-24-10-b	Δ = 124	bi.bi = 24	b0.bi = 10	1 x (irr-A4-5) + 1 x (irr-A4-10) + 2 x (irr-A4-24) + 1 x (irr-A4-40) + 1 x (irr-A4-45)
vtx-A04-124-24-10-c	Δ = 124	bi.bi = 24	b0.bi = 10	2 x (irr-A4-10) + 2 x (irr-A4-24) + 2 x (irr-A4-40)
vtx-A04-125-5-5	Δ = 125	bi.bi = 5	b0.bi = 5	15 x (irr-A4-5) + 5 x (irr-A4-10) + 1 x (irr-A4-24)
vtx-A04-125-8-6	Δ = 125	bi.bi = 8	b0.bi = 6	8 x (irr-A4-5) + 7 x (irr-A4-10) + 1 x (irr-A4-15) + 1 x (irr-A4-24)
vtx-A04-125-11-7	Δ = 125	bi.bi = 11	b0.bi = 7	1 x (irr-A4-5) + 9 x (irr-A4-10) + 2 x (irr-A4-15) + 1 x (irr-A4-24)
vtx-A04-125-13-7-a	Δ = 125	bi.bi = 13	b0.bi = 7	11 x (irr-A4-5) + 3 x (irr-A4-10) + 1 x (irr-A4-24) + 1 x (irr-A4-40)
