vtx-A07-n27-n1-n1	Δ = -27	bi.bi = -1	b0.bi = -1	1 x (irr-A7-36)
vtx-A07-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-A7-63)
vtx-A07-1-0-0	Δ = 1	bi.bi = 0	b0.bi = 0	1 x (irr-A7-28) + 1 x (irr-A7-36)
vtx-A07-65-n2-0	Δ = 65	bi.bi = -2	b0.bi = 0	16 x (irr-A7-8)
vtx-A07-93-n1-1	Δ = 93	bi.bi = -1	b0.bi = 1	16 x (irr-A7-8) + 1 x (irr-A7-28)
vtx-A07-121-0-2	Δ = 121	bi.bi = 0	b0.bi = 2	16 x (irr-A7-8) + 2 x (irr-A7-28)
vtx-A07-28-1-1	Δ = 28	bi.bi = 1	b0.bi = 1	1 x (irr-A7-28) + 1 x (irr-A7-63)
vtx-A07-29-1-1	Δ = 29	bi.bi = 1	b0.bi = 1	2 x (irr-A7-28) + 1 x (irr-A7-36)
vtx-A07-56-2-2	Δ = 56	bi.bi = 2	b0.bi = 2	2 x (irr-A7-28) + 1 x (irr-A7-63)
vtx-A07-57-2-2	Δ = 57	bi.bi = 2	b0.bi = 2	3 x (irr-A7-28) + 1 x (irr-A7-36)
vtx-A07-79-6-4	Δ = 79	bi.bi = 6	b0.bi = 4	2 x (irr-A7-36) + 1 x (irr-A7-70)
vtx-A07-84-3-3	Δ = 84	bi.bi = 3	b0.bi = 3	3 x (irr-A7-28) + 1 x (irr-A7-63)
vtx-A07-85-3-3	Δ = 85	bi.bi = 3	b0.bi = 3	4 x (irr-A7-28) + 1 x (irr-A7-36)
vtx-A07-101-3-3	Δ = 101	bi.bi = 3	b0.bi = 3	9 x (irr-A7-8) + 1 x (irr-A7-36) + 1 x (irr-A7-56)
vtx-A07-106-7-5	Δ = 106	bi.bi = 7	b0.bi = 5	1 x (irr-A7-36) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-107-7-5	Δ = 107	bi.bi = 7	b0.bi = 5	1 x (irr-A7-28) + 2 x (irr-A7-36) + 1 x (irr-A7-70)
vtx-A07-112-4-4	Δ = 112	bi.bi = 4	b0.bi = 4	4 x (irr-A7-28) + 1 x (irr-A7-63)
vtx-A07-113-4-4	Δ = 113	bi.bi = 4	b0.bi = 4	5 x (irr-A7-28) + 1 x (irr-A7-36)
vtx-A07-128-4-4	Δ = 128	bi.bi = 4	b0.bi = 4	9 x (irr-A7-8) + 1 x (irr-A7-56) + 1 x (irr-A7-63)
vtx-A07-129-4-4	Δ = 129	bi.bi = 4	b0.bi = 4	9 x (irr-A7-8) + 1 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-56)
vtx-A07-133-8-6	Δ = 133	bi.bi = 8	b0.bi = 6	2 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-134-8-6	Δ = 134	bi.bi = 8	b0.bi = 6	1 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-135-8-6	Δ = 135	bi.bi = 8	b0.bi = 6	2 x (irr-A7-28) + 2 x (irr-A7-36) + 1 x (irr-A7-70)
vtx-A07-137-8-6	Δ = 137	bi.bi = 8	b0.bi = 6	2 x (irr-A7-8) + 2 x (irr-A7-36) + 2 x (irr-A7-56)
vtx-A07-140-5-5	Δ = 140	bi.bi = 5	b0.bi = 5	5 x (irr-A7-28) + 1 x (irr-A7-63)
vtx-A07-141-5-5	Δ = 141	bi.bi = 5	b0.bi = 5	6 x (irr-A7-28) + 1 x (irr-A7-36)
vtx-A07-149-1-3	Δ = 149	bi.bi = 1	b0.bi = 3	16 x (irr-A7-8) + 3 x (irr-A7-28)
vtx-A07-156-5-5	Δ = 156	bi.bi = 5	b0.bi = 5	9 x (irr-A7-8) + 1 x (irr-A7-28) + 1 x (irr-A7-56) + 1 x (irr-A7-63)
vtx-A07-157-5-5	Δ = 157	bi.bi = 5	b0.bi = 5	9 x (irr-A7-8) + 2 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-56)
vtx-A07-161-9-7	Δ = 161	bi.bi = 9	b0.bi = 7	1 x (irr-A7-28) + 2 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-162-9-7	Δ = 162	bi.bi = 9	b0.bi = 7	2 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-163-9-7	Δ = 163	bi.bi = 9	b0.bi = 7	3 x (irr-A7-28) + 2 x (irr-A7-36) + 1 x (irr-A7-70)
vtx-A07-164-9-7	Δ = 164	bi.bi = 9	b0.bi = 7	2 x (irr-A7-8) + 1 x (irr-A7-36) + 2 x (irr-A7-56) + 1 x (irr-A7-63)
vtx-A07-165-9-7	Δ = 165	bi.bi = 9	b0.bi = 7	2 x (irr-A7-8) + 1 x (irr-A7-28) + 2 x (irr-A7-36) + 2 x (irr-A7-56)
vtx-A07-168-6-6	Δ = 168	bi.bi = 6	b0.bi = 6	6 x (irr-A7-28) + 1 x (irr-A7-63)
vtx-A07-169-6-6	Δ = 169	bi.bi = 6	b0.bi = 6	7 x (irr-A7-28) + 1 x (irr-A7-36)
vtx-A07-171-5-5	Δ = 171	bi.bi = 5	b0.bi = 5	16 x (irr-A7-8) + 1 x (irr-A7-36) + 1 x (irr-A7-70)
vtx-A07-177-2-4	Δ = 177	bi.bi = 2	b0.bi = 4	16 x (irr-A7-8) + 4 x (irr-A7-28)
vtx-A07-184-6-6	Δ = 184	bi.bi = 6	b0.bi = 6	9 x (irr-A7-8) + 2 x (irr-A7-28) + 1 x (irr-A7-56) + 1 x (irr-A7-63)
