vtx-A09-n24-n1-n1	Δ = -24	bi.bi = -1	b0.bi = -1	2 x (irr-A9-10) + 1 x (irr-A9-55)
vtx-A09-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-A9-99)
vtx-A09-1-0-0	Δ = 1	bi.bi = 0	b0.bi = 0	1 x (irr-A9-45) + 1 x (irr-A9-55)
vtx-A09-101-n2-0	Δ = 101	bi.bi = -2	b0.bi = 0	20 x (irr-A9-10)
vtx-A09-126-n1-1	Δ = 126	bi.bi = -1	b0.bi = 1	18 x (irr-A9-10) + 1 x (irr-A9-45)
vtx-A09-151-0-2	Δ = 151	bi.bi = 0	b0.bi = 2	16 x (irr-A9-10) + 2 x (irr-A9-45)
vtx-A09-176-1-3	Δ = 176	bi.bi = 1	b0.bi = 3	14 x (irr-A9-10) + 3 x (irr-A9-45)
vtx-A09-176-5-5	Δ = 176	bi.bi = 5	b0.bi = 5	10 x (irr-A9-10) + 1 x (irr-A9-55) + 1 x (irr-A9-120)
vtx-A09-200-6-6	Δ = 200	bi.bi = 6	b0.bi = 6	8 x (irr-A9-10) + 1 x (irr-A9-99) + 1 x (irr-A9-120)
vtx-A09-201-2-4	Δ = 201	bi.bi = 2	b0.bi = 4	12 x (irr-A9-10) + 4 x (irr-A9-45)
vtx-A09-201-6-6	Δ = 201	bi.bi = 6	b0.bi = 6	8 x (irr-A9-10) + 1 x (irr-A9-45) + 1 x (irr-A9-55) + 1 x (irr-A9-120)
vtx-A09-225-7-7	Δ = 225	bi.bi = 7	b0.bi = 7	6 x (irr-A9-10) + 1 x (irr-A9-45) + 1 x (irr-A9-99) + 1 x (irr-A9-120)
vtx-A09-226-3-5	Δ = 226	bi.bi = 3	b0.bi = 5	10 x (irr-A9-10) + 5 x (irr-A9-45)
vtx-A09-226-7-7	Δ = 226	bi.bi = 7	b0.bi = 7	6 x (irr-A9-10) + 2 x (irr-A9-45) + 1 x (irr-A9-55) + 1 x (irr-A9-120)
vtx-A09-227-10-8	Δ = 227	bi.bi = 10	b0.bi = 8	9 x (irr-A9-10) + 2 x (irr-A9-55) + 1 x (irr-A9-252-h)
