vtx-B05-n22-n4-n2	Δ = -22	bi.bi = -4	b0.bi = -2	3 x (irr-B5-11)
vtx-B05-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-B5-55)
vtx-B05-5-n3-n1	Δ = 5	bi.bi = -3	b0.bi = -1	4 x (irr-B5-11) + 1 x (irr-B5-32-h)
vtx-B05-32-n2-0	Δ = 32	bi.bi = -2	b0.bi = 0	5 x (irr-B5-11) + 2 x (irr-B5-32-h)
vtx-B05-59-n1-1	Δ = 59	bi.bi = -1	b0.bi = 1	6 x (irr-B5-11) + 3 x (irr-B5-32-h)
vtx-B05-86-0-2	Δ = 86	bi.bi = 0	b0.bi = 2	7 x (irr-B5-11) + 4 x (irr-B5-32-h)
vtx-B05-27-1-1	Δ = 27	bi.bi = 1	b0.bi = 1	1 x (irr-B5-11) + 1 x (irr-B5-32-h) + 1 x (irr-B5-55)
vtx-B05-54-2-2	Δ = 54	bi.bi = 2	b0.bi = 2	2 x (irr-B5-11) + 2 x (irr-B5-32-h) + 1 x (irr-B5-55)
vtx-B05-81-3-3	Δ = 81	bi.bi = 3	b0.bi = 3	3 x (irr-B5-11) + 3 x (irr-B5-32-h) + 1 x (irr-B5-55)
vtx-B05-103-7-5	Δ = 103	bi.bi = 7	b0.bi = 5	3 x (irr-B5-32-h) + 2 x (irr-B5-55)
vtx-B05-108-4-4	Δ = 108	bi.bi = 4	b0.bi = 4	4 x (irr-B5-11) + 4 x (irr-B5-32-h) + 1 x (irr-B5-55)
vtx-B05-113-1-3	Δ = 113	bi.bi = 1	b0.bi = 3	8 x (irr-B5-11) + 5 x (irr-B5-32-h)
vtx-B05-130-8-6	Δ = 130	bi.bi = 8	b0.bi = 6	1 x (irr-B5-11) + 4 x (irr-B5-32-h) + 2 x (irr-B5-55)
vtx-B05-135-5-5	Δ = 135	bi.bi = 5	b0.bi = 5	5 x (irr-B5-11) + 5 x (irr-B5-32-h) + 1 x (irr-B5-55)
vtx-B05-140-2-4	Δ = 140	bi.bi = 2	b0.bi = 4	9 x (irr-B5-11) + 6 x (irr-B5-32-h)
vtx-B05-153-25-11	Δ = 153	bi.bi = 25	b0.bi = 11	3 x (irr-B5-32-h) + 1 x (irr-B5-320-h)
vtx-B05-157-9-7	Δ = 157	bi.bi = 9	b0.bi = 7	2 x (irr-B5-11) + 5 x (irr-B5-32-h) + 2 x (irr-B5-55)
vtx-B05-162-6-6	Δ = 162	bi.bi = 6	b0.bi = 6	6 x (irr-B5-11) + 6 x (irr-B5-32-h) + 1 x (irr-B5-55)
vtx-B05-167-3-5	Δ = 167	bi.bi = 3	b0.bi = 5	10 x (irr-B5-11) + 7 x (irr-B5-32-h)
vtx-B05-180-26-12	Δ = 180	bi.bi = 26	b0.bi = 12	1 x (irr-B5-11) + 4 x (irr-B5-32-h) + 1 x (irr-B5-320-h)
vtx-B05-184-10-8	Δ = 184	bi.bi = 10	b0.bi = 8	3 x (irr-B5-11) + 6 x (irr-B5-32-h) + 2 x (irr-B5-55)
vtx-B05-189-7-7	Δ = 189	bi.bi = 7	b0.bi = 7	7 x (irr-B5-11) + 7 x (irr-B5-32-h) + 1 x (irr-B5-55)
vtx-B05-194-4-6	Δ = 194	bi.bi = 4	b0.bi = 6	11 x (irr-B5-11) + 8 x (irr-B5-32-h)
vtx-B05-206-14-10	Δ = 206	bi.bi = 14	b0.bi = 10	6 x (irr-B5-32-h) + 3 x (irr-B5-55)
vtx-B05-207-27-13	Δ = 207	bi.bi = 27	b0.bi = 13	2 x (irr-B5-11) + 5 x (irr-B5-32-h) + 1 x (irr-B5-320-h)
vtx-B05-209-24-12	Δ = 209	bi.bi = 24	b0.bi = 12	9 x (irr-B5-11) + 1 x (irr-B5-165)
vtx-B05-211-11-9	Δ = 211	bi.bi = 11	b0.bi = 9	4 x (irr-B5-11) + 7 x (irr-B5-32-h) + 2 x (irr-B5-55)
vtx-B05-216-8-8	Δ = 216	bi.bi = 8	b0.bi = 8	8 x (irr-B5-11) + 8 x (irr-B5-32-h) + 1 x (irr-B5-55)
vtx-B05-221-5-7	Δ = 221	bi.bi = 5	b0.bi = 7	12 x (irr-B5-11) + 9 x (irr-B5-32-h)
vtx-B05-231-28-14	Δ = 231	bi.bi = 28	b0.bi = 14	6 x (irr-B5-11) + 1 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-233-15-11	Δ = 233	bi.bi = 15	b0.bi = 11	1 x (irr-B5-11) + 7 x (irr-B5-32-h) + 3 x (irr-B5-55)
vtx-B05-234-28-14	Δ = 234	bi.bi = 28	b0.bi = 14	3 x (irr-B5-11) + 6 x (irr-B5-32-h) + 1 x (irr-B5-320-h)
