vtx-C05-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-C5-55)
vtx-C05-125-n1-1	Δ = 125	bi.bi = -1	b0.bi = 1	18 x (irr-C5-10)
vtx-C05-149-0-2	Δ = 149	bi.bi = 0	b0.bi = 2	16 x (irr-C5-10) + 1 x (irr-C5-44)
vtx-C05-151-8-6	Δ = 151	bi.bi = 8	b0.bi = 6	3 x (irr-C5-10) + 2 x (irr-C5-55) + 1 x (irr-C5-132-h)
vtx-C05-173-1-3	Δ = 173	bi.bi = 1	b0.bi = 3	14 x (irr-C5-10) + 2 x (irr-C5-44)
vtx-C05-175-9-7	Δ = 175	bi.bi = 9	b0.bi = 7	1 x (irr-C5-10) + 1 x (irr-C5-44) + 2 x (irr-C5-55) + 1 x (irr-C5-132-h)
vtx-C05-197-2-4	Δ = 197	bi.bi = 2	b0.bi = 4	12 x (irr-C5-10) + 3 x (irr-C5-44)
vtx-C05-200-6-6	Δ = 200	bi.bi = 6	b0.bi = 6	9 x (irr-C5-10) + 1 x (irr-C5-55) + 1 x (irr-C5-110)
vtx-C05-201-16-10	Δ = 201	bi.bi = 16	b0.bi = 10	3 x (irr-C5-10) + 1 x (irr-C5-132-h) + 1 x (irr-C5-320-h)
vtx-C05-221-3-5	Δ = 221	bi.bi = 3	b0.bi = 5	10 x (irr-C5-10) + 4 x (irr-C5-44)
vtx-C05-224-7-7	Δ = 224	bi.bi = 7	b0.bi = 7	7 x (irr-C5-10) + 1 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-110)
vtx-C05-225-17-11	Δ = 225	bi.bi = 17	b0.bi = 11	1 x (irr-C5-10) + 1 x (irr-C5-44) + 1 x (irr-C5-132-h) + 1 x (irr-C5-320-h)
vtx-C05-245-4-6	Δ = 245	bi.bi = 4	b0.bi = 6	8 x (irr-C5-10) + 5 x (irr-C5-44)
vtx-C05-248-8-8	Δ = 248	bi.bi = 8	b0.bi = 8	5 x (irr-C5-10) + 2 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-110)
vtx-C05-253-27-15	Δ = 253	bi.bi = 27	b0.bi = 15	3 x (irr-C5-132-h) + 1 x (irr-C5-220-h)
vtx-C05-269-5-7	Δ = 269	bi.bi = 5	b0.bi = 7	6 x (irr-C5-10) + 6 x (irr-C5-44)
vtx-C05-272-9-9	Δ = 272	bi.bi = 9	b0.bi = 9	3 x (irr-C5-10) + 3 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-110)
vtx-C05-275-13-11	Δ = 275	bi.bi = 13	b0.bi = 11	2 x (irr-C5-55) + 2 x (irr-C5-110)
vtx-C05-275-16-12	Δ = 275	bi.bi = 16	b0.bi = 12	3 x (irr-C5-55) + 1 x (irr-C5-165)
vtx-C05-276-7-7	Δ = 276	bi.bi = 7	b0.bi = 7	21 x (irr-C5-10) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h)
vtx-C05-293-6-8	Δ = 293	bi.bi = 6	b0.bi = 8	4 x (irr-C5-10) + 7 x (irr-C5-44)
vtx-C05-296-10-10	Δ = 296	bi.bi = 10	b0.bi = 10	1 x (irr-C5-10) + 4 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-110)
vtx-C05-300-8-8	Δ = 300	bi.bi = 8	b0.bi = 8	19 x (irr-C5-10) + 1 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h)
vtx-C05-302-16-12	Δ = 302	bi.bi = 16	b0.bi = 12	6 x (irr-C5-10) + 3 x (irr-C5-55) + 2 x (irr-C5-132-h)
vtx-C05-317-7-9	Δ = 317	bi.bi = 7	b0.bi = 9	2 x (irr-C5-10) + 8 x (irr-C5-44)
vtx-C05-324-9-9	Δ = 324	bi.bi = 9	b0.bi = 9	17 x (irr-C5-10) + 2 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h)
vtx-C05-325-5-7	Δ = 325	bi.bi = 5	b0.bi = 7	27 x (irr-C5-10) + 1 x (irr-C5-110)
vtx-C05-325-21-15	Δ = 325	bi.bi = 21	b0.bi = 15	2 x (irr-C5-110) + 1 x (irr-C5-320-h)
vtx-C05-325-24-16	Δ = 325	bi.bi = 24	b0.bi = 16	1 x (irr-C5-55) + 1 x (irr-C5-320-h) + 1 x (irr-C5-165)
vtx-C05-326-17-13	Δ = 326	bi.bi = 17	b0.bi = 13	4 x (irr-C5-10) + 1 x (irr-C5-44) + 3 x (irr-C5-55) + 2 x (irr-C5-132-h)
vtx-C05-341-8-10	Δ = 341	bi.bi = 8	b0.bi = 10	9 x (irr-C5-44)
vtx-C05-348-10-10	Δ = 348	bi.bi = 10	b0.bi = 10	15 x (irr-C5-10) + 3 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h)
vtx-C05-349-6-8	Δ = 349	bi.bi = 6	b0.bi = 8	25 x (irr-C5-10) + 1 x (irr-C5-44) + 1 x (irr-C5-110)
vtx-C05-350-18-14	Δ = 350	bi.bi = 18	b0.bi = 14	2 x (irr-C5-10) + 2 x (irr-C5-44) + 3 x (irr-C5-55) + 2 x (irr-C5-132-h)
vtx-C05-351-14-12	Δ = 351	bi.bi = 14	b0.bi = 12	12 x (irr-C5-10) + 2 x (irr-C5-55) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110)
vtx-C05-352-24-16	Δ = 352	bi.bi = 24	b0.bi = 16	6 x (irr-C5-10) + 1 x (irr-C5-55) + 2 x (irr-C5-132-h) + 1 x (irr-C5-320-h)
vtx-C05-372-11-11	Δ = 372	bi.bi = 11	b0.bi = 11	13 x (irr-C5-10) + 4 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h)
vtx-C05-373-7-9	Δ = 373	bi.bi = 7	b0.bi = 9	23 x (irr-C5-10) + 2 x (irr-C5-44) + 1 x (irr-C5-110)
vtx-C05-374-19-15	Δ = 374	bi.bi = 19	b0.bi = 15	3 x (irr-C5-44) + 3 x (irr-C5-55) + 2 x (irr-C5-132-h)
vtx-C05-375-15-13	Δ = 375	bi.bi = 15	b0.bi = 13	10 x (irr-C5-10) + 1 x (irr-C5-44) + 2 x (irr-C5-55) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110)
vtx-C05-376-25-17	Δ = 376	bi.bi = 25	b0.bi = 17	4 x (irr-C5-10) + 1 x (irr-C5-44) + 1 x (irr-C5-55) + 2 x (irr-C5-132-h) + 1 x (irr-C5-320-h)
vtx-C05-396-12-12	Δ = 396	bi.bi = 12	b0.bi = 12	11 x (irr-C5-10) + 5 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h)
vtx-C05-397-8-10	Δ = 397	bi.bi = 8	b0.bi = 10	21 x (irr-C5-10) + 3 x (irr-C5-44) + 1 x (irr-C5-110)
vtx-C05-399-16-14	Δ = 399	bi.bi = 16	b0.bi = 14	8 x (irr-C5-10) + 2 x (irr-C5-44) + 2 x (irr-C5-55) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110)
vtx-C05-400-12-12	Δ = 400	bi.bi = 12	b0.bi = 12	18 x (irr-C5-10) + 1 x (irr-C5-55) + 2 x (irr-C5-110)
vtx-C05-400-15-13	Δ = 400	bi.bi = 15	b0.bi = 13	18 x (irr-C5-10) + 2 x (irr-C5-55) + 1 x (irr-C5-165)
vtx-C05-400-26-18	Δ = 400	bi.bi = 26	b0.bi = 18	2 x (irr-C5-10) + 2 x (irr-C5-44) + 1 x (irr-C5-55) + 2 x (irr-C5-132-h) + 1 x (irr-C5-320-h)
vtx-C05-401-6-8	Δ = 401	bi.bi = 6	b0.bi = 8	39 x (irr-C5-10) + 1 x (irr-C5-132-h)
vtx-C05-401-22-16	Δ = 401	bi.bi = 22	b0.bi = 16	12 x (irr-C5-10) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110) + 1 x (irr-C5-320-h)
vtx-C05-404-35-21	Δ = 404	bi.bi = 35	b0.bi = 21	3 x (irr-C5-10) + 1 x (irr-C5-55) + 4 x (irr-C5-132-h) + 1 x (irr-C5-220-h)
vtx-C05-420-13-13	Δ = 420	bi.bi = 13	b0.bi = 13	9 x (irr-C5-10) + 6 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h)
vtx-C05-421-9-11	Δ = 421	bi.bi = 9	b0.bi = 11	19 x (irr-C5-10) + 4 x (irr-C5-44) + 1 x (irr-C5-110)
vtx-C05-423-17-15	Δ = 423	bi.bi = 17	b0.bi = 15	6 x (irr-C5-10) + 3 x (irr-C5-44) + 2 x (irr-C5-55) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110)
vtx-C05-424-13-13	Δ = 424	bi.bi = 13	b0.bi = 13	16 x (irr-C5-10) + 1 x (irr-C5-44) + 1 x (irr-C5-55) + 2 x (irr-C5-110)
vtx-C05-424-16-14	Δ = 424	bi.bi = 16	b0.bi = 14	16 x (irr-C5-10) + 1 x (irr-C5-44) + 2 x (irr-C5-55) + 1 x (irr-C5-165)
vtx-C05-424-27-19	Δ = 424	bi.bi = 27	b0.bi = 19	3 x (irr-C5-44) + 1 x (irr-C5-55) + 2 x (irr-C5-132-h) + 1 x (irr-C5-320-h)
vtx-C05-425-7-9	Δ = 425	bi.bi = 7	b0.bi = 9	37 x (irr-C5-10) + 1 x (irr-C5-44) + 1 x (irr-C5-132-h)
vtx-C05-425-23-17	Δ = 425	bi.bi = 23	b0.bi = 17	10 x (irr-C5-10) + 1 x (irr-C5-44) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110) + 1 x (irr-C5-320-h)
vtx-C05-426-21-17	Δ = 426	bi.bi = 21	b0.bi = 17	3 x (irr-C5-10) + 3 x (irr-C5-55) + 1 x (irr-C5-132-h) + 2 x (irr-C5-110)
vtx-C05-426-24-18	Δ = 426	bi.bi = 24	b0.bi = 18	3 x (irr-C5-10) + 4 x (irr-C5-55) + 1 x (irr-C5-132-h) + 1 x (irr-C5-165)
vtx-C05-426-33-21	Δ = 426	bi.bi = 33	b0.bi = 21	3 x (irr-C5-10) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110) + 1 x (irr-C5-220-h) + 1 x (irr-C5-165)
vtx-C05-427-15-13	Δ = 427	bi.bi = 15	b0.bi = 13	24 x (irr-C5-10) + 2 x (irr-C5-55) + 2 x (irr-C5-132-h)
vtx-C05-428-36-22	Δ = 428	bi.bi = 36	b0.bi = 22	1 x (irr-C5-10) + 1 x (irr-C5-44) + 1 x (irr-C5-55) + 4 x (irr-C5-132-h) + 1 x (irr-C5-220-h)
vtx-C05-444-14-14	Δ = 444	bi.bi = 14	b0.bi = 14	7 x (irr-C5-10) + 7 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h)
vtx-C05-445-10-12	Δ = 445	bi.bi = 10	b0.bi = 12	17 x (irr-C5-10) + 5 x (irr-C5-44) + 1 x (irr-C5-110)
vtx-C05-447-18-16	Δ = 447	bi.bi = 18	b0.bi = 16	4 x (irr-C5-10) + 4 x (irr-C5-44) + 2 x (irr-C5-55) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110)
vtx-C05-448-14-14	Δ = 448	bi.bi = 14	b0.bi = 14	14 x (irr-C5-10) + 2 x (irr-C5-44) + 1 x (irr-C5-55) + 2 x (irr-C5-110)
