vtx-C06-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-C6-78)
vtx-C06-162-n1-1	Δ = 162	bi.bi = -1	b0.bi = 1	20 x (irr-C6-12)
vtx-C06-179-0-2	Δ = 179	bi.bi = 0	b0.bi = 2	16 x (irr-C6-12) + 1 x (irr-C6-65)
vtx-C06-128-4-4	Δ = 128	bi.bi = 4	b0.bi = 4	2 x (irr-C6-12) + 1 x (irr-C6-78) + 1 x (irr-C6-208-h)
vtx-C06-196-1-3	Δ = 196	bi.bi = 1	b0.bi = 3	12 x (irr-C6-12) + 2 x (irr-C6-65)
vtx-C06-213-2-4	Δ = 213	bi.bi = 2	b0.bi = 4	8 x (irr-C6-12) + 3 x (irr-C6-65)
vtx-C06-230-3-5	Δ = 230	bi.bi = 3	b0.bi = 5	4 x (irr-C6-12) + 4 x (irr-C6-65)
vtx-C06-247-4-6	Δ = 247	bi.bi = 4	b0.bi = 6	5 x (irr-C6-65)
vtx-C06-256-8-8	Δ = 256	bi.bi = 8	b0.bi = 8	4 x (irr-C6-12) + 1 x (irr-C6-78) + 2 x (irr-C6-208-h)
vtx-C06-273-9-9	Δ = 273	bi.bi = 9	b0.bi = 9	1 x (irr-C6-65) + 1 x (irr-C6-78) + 2 x (irr-C6-208-h)
vtx-C06-290-3-5	Δ = 290	bi.bi = 3	b0.bi = 5	22 x (irr-C6-12) + 1 x (irr-C6-208-h)
vtx-C06-307-4-6	Δ = 307	bi.bi = 4	b0.bi = 6	18 x (irr-C6-12) + 1 x (irr-C6-65) + 1 x (irr-C6-208-h)
vtx-C06-324-5-7	Δ = 324	bi.bi = 5	b0.bi = 7	14 x (irr-C6-12) + 2 x (irr-C6-65) + 1 x (irr-C6-208-h)
vtx-C06-341-6-8	Δ = 341	bi.bi = 6	b0.bi = 8	10 x (irr-C6-12) + 3 x (irr-C6-65) + 1 x (irr-C6-208-h)
vtx-C06-358-7-9	Δ = 358	bi.bi = 7	b0.bi = 9	6 x (irr-C6-12) + 4 x (irr-C6-65) + 1 x (irr-C6-208-h)
vtx-C06-375-8-10	Δ = 375	bi.bi = 8	b0.bi = 10	2 x (irr-C6-12) + 5 x (irr-C6-65) + 1 x (irr-C6-208-h)
vtx-C06-384-12-12	Δ = 384	bi.bi = 12	b0.bi = 12	6 x (irr-C6-12) + 1 x (irr-C6-78) + 3 x (irr-C6-208-h)
vtx-C06-401-13-13	Δ = 401	bi.bi = 13	b0.bi = 13	2 x (irr-C6-12) + 1 x (irr-C6-65) + 1 x (irr-C6-78) + 3 x (irr-C6-208-h)
vtx-C06-418-7-9	Δ = 418	bi.bi = 7	b0.bi = 9	24 x (irr-C6-12) + 2 x (irr-C6-208-h)
vtx-C06-435-8-10	Δ = 435	bi.bi = 8	b0.bi = 10	20 x (irr-C6-12) + 1 x (irr-C6-65) + 2 x (irr-C6-208-h)
vtx-C06-452-9-11	Δ = 452	bi.bi = 9	b0.bi = 11	16 x (irr-C6-12) + 2 x (irr-C6-65) + 2 x (irr-C6-208-h)
vtx-C06-469-10-12	Δ = 469	bi.bi = 10	b0.bi = 12	12 x (irr-C6-12) + 3 x (irr-C6-65) + 2 x (irr-C6-208-h)
vtx-C06-486-11-13	Δ = 486	bi.bi = 11	b0.bi = 13	8 x (irr-C6-12) + 4 x (irr-C6-65) + 2 x (irr-C6-208-h)
vtx-C06-503-12-14	Δ = 503	bi.bi = 12	b0.bi = 14	4 x (irr-C6-12) + 5 x (irr-C6-65) + 2 x (irr-C6-208-h)
vtx-C06-512-16-16	Δ = 512	bi.bi = 16	b0.bi = 16	8 x (irr-C6-12) + 1 x (irr-C6-78) + 4 x (irr-C6-208-h)
vtx-C06-520-13-15	Δ = 520	bi.bi = 13	b0.bi = 15	6 x (irr-C6-65) + 2 x (irr-C6-208-h)
vtx-C06-529-17-17	Δ = 529	bi.bi = 17	b0.bi = 17	4 x (irr-C6-12) + 1 x (irr-C6-65) + 1 x (irr-C6-78) + 4 x (irr-C6-208-h)
vtx-C06-546-11-13	Δ = 546	bi.bi = 11	b0.bi = 13	26 x (irr-C6-12) + 3 x (irr-C6-208-h)
vtx-C06-546-18-18	Δ = 546	bi.bi = 18	b0.bi = 18	2 x (irr-C6-65) + 1 x (irr-C6-78) + 4 x (irr-C6-208-h)
vtx-C06-563-12-14	Δ = 563	bi.bi = 12	b0.bi = 14	22 x (irr-C6-12) + 1 x (irr-C6-65) + 3 x (irr-C6-208-h)
vtx-C06-580-13-15	Δ = 580	bi.bi = 13	b0.bi = 15	18 x (irr-C6-12) + 2 x (irr-C6-65) + 3 x (irr-C6-208-h)
vtx-C06-597-14-16	Δ = 597	bi.bi = 14	b0.bi = 16	14 x (irr-C6-12) + 3 x (irr-C6-65) + 3 x (irr-C6-208-h)
vtx-C06-614-15-17	Δ = 614	bi.bi = 15	b0.bi = 17	10 x (irr-C6-12) + 4 x (irr-C6-65) + 3 x (irr-C6-208-h)
vtx-C06-631-16-18	Δ = 631	bi.bi = 16	b0.bi = 18	6 x (irr-C6-12) + 5 x (irr-C6-65) + 3 x (irr-C6-208-h)
vtx-C06-640-20-20	Δ = 640	bi.bi = 20	b0.bi = 20	10 x (irr-C6-12) + 1 x (irr-C6-78) + 5 x (irr-C6-208-h)
vtx-C06-648-17-19	Δ = 648	bi.bi = 17	b0.bi = 19	2 x (irr-C6-12) + 6 x (irr-C6-65) + 3 x (irr-C6-208-h)
vtx-C06-657-21-21	Δ = 657	bi.bi = 21	b0.bi = 21	6 x (irr-C6-12) + 1 x (irr-C6-65) + 1 x (irr-C6-78) + 5 x (irr-C6-208-h)
vtx-C06-674-15-17	Δ = 674	bi.bi = 15	b0.bi = 17	28 x (irr-C6-12) + 4 x (irr-C6-208-h)
vtx-C06-674-22-22	Δ = 674	bi.bi = 22	b0.bi = 22	2 x (irr-C6-12) + 2 x (irr-C6-65) + 1 x (irr-C6-78) + 5 x (irr-C6-208-h)
vtx-C06-691-16-18	Δ = 691	bi.bi = 16	b0.bi = 18	24 x (irr-C6-12) + 1 x (irr-C6-65) + 4 x (irr-C6-208-h)
vtx-C06-708-17-19	Δ = 708	bi.bi = 17	b0.bi = 19	20 x (irr-C6-12) + 2 x (irr-C6-65) + 4 x (irr-C6-208-h)
