vtx-D04-n28-n4-n2	Δ = -28	bi.bi = -4	b0.bi = -2	
vtx-D04-n4-n3-n1	Δ = -4	bi.bi = -3	b0.bi = -1	1 x (irr-D4-8a) + 2 x (irr-D4-8b)
vtx-D04-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-D4-28)
vtx-D04-20-n2-0	Δ = 20	bi.bi = -2	b0.bi = 0	2 x (irr-D4-8a) + 4 x (irr-D4-8b)
vtx-D04-44-n1-1	Δ = 44	bi.bi = -1	b0.bi = 1	3 x (irr-D4-8a) + 6 x (irr-D4-8b)
vtx-D04-68-0-2	Δ = 68	bi.bi = 0	b0.bi = 2	4 x (irr-D4-8a) + 8 x (irr-D4-8b)
vtx-D04-24-1-1	Δ = 24	bi.bi = 1	b0.bi = 1	1 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-28)
vtx-D04-28-4-2	Δ = 28	bi.bi = 4	b0.bi = 2	2 x (irr-D4-28)
vtx-D04-48-2-2	Δ = 48	bi.bi = 2	b0.bi = 2	2 x (irr-D4-8a) + 4 x (irr-D4-8b) + 1 x (irr-D4-28)
vtx-D04-52-5-3	Δ = 52	bi.bi = 5	b0.bi = 3	1 x (irr-D4-8a) + 2 x (irr-D4-8b) + 2 x (irr-D4-28)
vtx-D04-56-8-4	Δ = 56	bi.bi = 8	b0.bi = 4	3 x (irr-D4-28)
vtx-D04-71-8-4	Δ = 71	bi.bi = 8	b0.bi = 4	8 x (irr-D4-8a) + 1 x (irr-D4-35b)
vtx-D04-72-3-3	Δ = 72	bi.bi = 3	b0.bi = 3	3 x (irr-D4-8a) + 6 x (irr-D4-8b) + 1 x (irr-D4-28)
vtx-D04-76-6-4	Δ = 76	bi.bi = 6	b0.bi = 4	2 x (irr-D4-8a) + 4 x (irr-D4-8b) + 2 x (irr-D4-28)
vtx-D04-77-24-8	Δ = 77	bi.bi = 24	b0.bi = 8	1 x (irr-D4-35a) + 2 x (irr-D4-35b)
vtx-D04-80-9-5	Δ = 80	bi.bi = 9	b0.bi = 5	1 x (irr-D4-8a) + 2 x (irr-D4-8b) + 3 x (irr-D4-28)
vtx-D04-84-12-6	Δ = 84	bi.bi = 12	b0.bi = 6	4 x (irr-D4-28)
vtx-D04-92-1-3	Δ = 92	bi.bi = 1	b0.bi = 3	5 x (irr-D4-8a) + 10 x (irr-D4-8b)
vtx-D04-95-9-5	Δ = 95	bi.bi = 9	b0.bi = 5	9 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-35b)
vtx-D04-96-4-4	Δ = 96	bi.bi = 4	b0.bi = 4	4 x (irr-D4-8a) + 8 x (irr-D4-8b) + 1 x (irr-D4-28)
vtx-D04-99-12-6	Δ = 99	bi.bi = 12	b0.bi = 6	8 x (irr-D4-8a) + 1 x (irr-D4-28) + 1 x (irr-D4-35b)
vtx-D04-100-7-5	Δ = 100	bi.bi = 7	b0.bi = 5	3 x (irr-D4-8a) + 6 x (irr-D4-8b) + 2 x (irr-D4-28)
vtx-D04-100-12-6-a	Δ = 100	bi.bi = 12	b0.bi = 6	9 x (irr-D4-8a) + 1 x (irr-D4-56b)
vtx-D04-100-12-6-b	Δ = 100	bi.bi = 12	b0.bi = 6	9 x (irr-D4-8b) + 1 x (irr-D4-56a)
vtx-D04-101-25-9	Δ = 101	bi.bi = 25	b0.bi = 9	1 x (irr-D4-8a) + 2 x (irr-D4-8b) + 1 x (irr-D4-35a) + 2 x (irr-D4-35b)
