vtx-D07-n7-n4-n2	Δ = -7	bi.bi = -4	b0.bi = -2	6 x (irr-D7-14)
vtx-D07-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-D7-91)
vtx-D07-113-0-2	Δ = 113	bi.bi = 0	b0.bi = 2	10 x (irr-D7-14) + 1 x (irr-D7-64)
vtx-D07-120-4-4	Δ = 120	bi.bi = 4	b0.bi = 4	4 x (irr-D7-14) + 1 x (irr-D7-64) + 1 x (irr-D7-91)
vtx-D07-233-4-6	Δ = 233	bi.bi = 4	b0.bi = 6	14 x (irr-D7-14) + 2 x (irr-D7-64)
vtx-D07-240-8-8	Δ = 240	bi.bi = 8	b0.bi = 8	8 x (irr-D7-14) + 2 x (irr-D7-64) + 1 x (irr-D7-91)
vtx-D07-247-12-10	Δ = 247	bi.bi = 12	b0.bi = 10	2 x (irr-D7-14) + 2 x (irr-D7-64) + 2 x (irr-D7-91)
vtx-D07-269-16-12	Δ = 269	bi.bi = 16	b0.bi = 12	4 x (irr-D7-64) + 1 x (irr-D7-104)
vtx-D07-273-36-18	Δ = 273	bi.bi = 36	b0.bi = 18	1 x (irr-D7-364)
vtx-D07-353-8-10	Δ = 353	bi.bi = 8	b0.bi = 10	18 x (irr-D7-14) + 3 x (irr-D7-64)
vtx-D07-360-12-12	Δ = 360	bi.bi = 12	b0.bi = 12	12 x (irr-D7-14) + 3 x (irr-D7-64) + 1 x (irr-D7-91)
vtx-D07-367-16-14	Δ = 367	bi.bi = 16	b0.bi = 14	6 x (irr-D7-14) + 3 x (irr-D7-64) + 2 x (irr-D7-91)
vtx-D07-374-20-16	Δ = 374	bi.bi = 20	b0.bi = 16	3 x (irr-D7-64) + 3 x (irr-D7-91)
vtx-D07-389-20-16	Δ = 389	bi.bi = 20	b0.bi = 16	4 x (irr-D7-14) + 5 x (irr-D7-64) + 1 x (irr-D7-104)
vtx-D07-393-40-22	Δ = 393	bi.bi = 40	b0.bi = 22	4 x (irr-D7-14) + 1 x (irr-D7-64) + 1 x (irr-D7-364)
vtx-D07-473-12-14	Δ = 473	bi.bi = 12	b0.bi = 14	22 x (irr-D7-14) + 4 x (irr-D7-64)
vtx-D07-480-16-16	Δ = 480	bi.bi = 16	b0.bi = 16	16 x (irr-D7-14) + 4 x (irr-D7-64) + 1 x (irr-D7-91)
