vtx-E07-n133-n8-n6	Δ = -133	bi.bi = -8	b0.bi = -6	
vtx-E07-n105-n7-n5	Δ = -105	bi.bi = -7	b0.bi = -5	1 x (irr-E7-56-h)
vtx-E07-n77-n6-n4	Δ = -77	bi.bi = -6	b0.bi = -4	2 x (irr-E7-56-h)
vtx-E07-n49-n5-n3	Δ = -49	bi.bi = -5	b0.bi = -3	3 x (irr-E7-56-h)
vtx-E07-n21-n4-n2	Δ = -21	bi.bi = -4	b0.bi = -2	4 x (irr-E7-56-h)
vtx-E07-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-E7-133)
vtx-E07-7-n3-n1	Δ = 7	bi.bi = -3	b0.bi = -1	5 x (irr-E7-56-h)
vtx-E07-35-n2-0	Δ = 35	bi.bi = -2	b0.bi = 0	6 x (irr-E7-56-h)
vtx-E07-63-n1-1	Δ = 63	bi.bi = -1	b0.bi = 1	7 x (irr-E7-56-h)
vtx-E07-91-0-2	Δ = 91	bi.bi = 0	b0.bi = 2	8 x (irr-E7-56-h)
vtx-E07-28-1-1	Δ = 28	bi.bi = 1	b0.bi = 1	1 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-56-2-2	Δ = 56	bi.bi = 2	b0.bi = 2	2 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-84-3-3	Δ = 84	bi.bi = 3	b0.bi = 3	3 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-112-4-4	Δ = 112	bi.bi = 4	b0.bi = 4	4 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-119-1-3	Δ = 119	bi.bi = 1	b0.bi = 3	9 x (irr-E7-56-h)
vtx-E07-133-8-6	Δ = 133	bi.bi = 8	b0.bi = 6	2 x (irr-E7-133)
vtx-E07-140-5-5	Δ = 140	bi.bi = 5	b0.bi = 5	5 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-147-2-4	Δ = 147	bi.bi = 2	b0.bi = 4	10 x (irr-E7-56-h)
vtx-E07-161-9-7	Δ = 161	bi.bi = 9	b0.bi = 7	1 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-168-6-6	Δ = 168	bi.bi = 6	b0.bi = 6	6 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-175-3-5	Δ = 175	bi.bi = 3	b0.bi = 5	11 x (irr-E7-56-h)
vtx-E07-189-10-8	Δ = 189	bi.bi = 10	b0.bi = 8	2 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-196-7-7	Δ = 196	bi.bi = 7	b0.bi = 7	7 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-203-4-6	Δ = 203	bi.bi = 4	b0.bi = 6	12 x (irr-E7-56-h)
vtx-E07-217-11-9	Δ = 217	bi.bi = 11	b0.bi = 9	3 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-224-8-8	Δ = 224	bi.bi = 8	b0.bi = 8	8 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-231-5-7	Δ = 231	bi.bi = 5	b0.bi = 7	13 x (irr-E7-56-h)
vtx-E07-245-12-10	Δ = 245	bi.bi = 12	b0.bi = 10	4 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-252-9-9	Δ = 252	bi.bi = 9	b0.bi = 9	9 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-259-6-8	Δ = 259	bi.bi = 6	b0.bi = 8	14 x (irr-E7-56-h)
vtx-E07-266-16-12	Δ = 266	bi.bi = 16	b0.bi = 12	3 x (irr-E7-133)
vtx-E07-273-13-11	Δ = 273	bi.bi = 13	b0.bi = 11	5 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-280-10-10	Δ = 280	bi.bi = 10	b0.bi = 10	10 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-287-7-9	Δ = 287	bi.bi = 7	b0.bi = 9	15 x (irr-E7-56-h)
vtx-E07-294-17-13	Δ = 294	bi.bi = 17	b0.bi = 13	1 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-301-14-12	Δ = 301	bi.bi = 14	b0.bi = 12	6 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-308-11-11	Δ = 308	bi.bi = 11	b0.bi = 11	11 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-315-8-10	Δ = 315	bi.bi = 8	b0.bi = 10	16 x (irr-E7-56-h)
vtx-E07-322-18-14	Δ = 322	bi.bi = 18	b0.bi = 14	2 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-323-54-24	Δ = 323	bi.bi = 54	b0.bi = 24	1 x (irr-E7-912-h)
vtx-E07-329-15-13	Δ = 329	bi.bi = 15	b0.bi = 13	7 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-336-12-12	Δ = 336	bi.bi = 12	b0.bi = 12	12 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-343-9-11	Δ = 343	bi.bi = 9	b0.bi = 11	17 x (irr-E7-56-h)
vtx-E07-350-19-15	Δ = 350	bi.bi = 19	b0.bi = 15	3 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-351-55-25	Δ = 351	bi.bi = 55	b0.bi = 25	1 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-357-16-14	Δ = 357	bi.bi = 16	b0.bi = 14	8 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-364-13-13	Δ = 364	bi.bi = 13	b0.bi = 13	13 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-371-10-12	Δ = 371	bi.bi = 10	b0.bi = 12	18 x (irr-E7-56-h)
vtx-E07-378-20-16	Δ = 378	bi.bi = 20	b0.bi = 16	4 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-379-56-26	Δ = 379	bi.bi = 56	b0.bi = 26	2 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-385-17-15	Δ = 385	bi.bi = 17	b0.bi = 15	9 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-392-14-14	Δ = 392	bi.bi = 14	b0.bi = 14	14 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-399-11-13	Δ = 399	bi.bi = 11	b0.bi = 13	19 x (irr-E7-56-h)
