vtx-F04-n52-n5-n3	Δ = -52	bi.bi = -5	b0.bi = -3	
vtx-F04-n26-n4-n2	Δ = -26	bi.bi = -4	b0.bi = -2	1 x (irr-F4-26)
vtx-F04-0-n3-n1	Δ = 0	bi.bi = -3	b0.bi = -1	2 x (irr-F4-26)
vtx-F04-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-F4-52)
vtx-F04-26-n2-0	Δ = 26	bi.bi = -2	b0.bi = 0	3 x (irr-F4-26)
vtx-F04-52-n1-1	Δ = 52	bi.bi = -1	b0.bi = 1	4 x (irr-F4-26)
vtx-F04-78-0-2	Δ = 78	bi.bi = 0	b0.bi = 2	5 x (irr-F4-26)
vtx-F04-26-1-1	Δ = 26	bi.bi = 1	b0.bi = 1	1 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-52-2-2	Δ = 52	bi.bi = 2	b0.bi = 2	2 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-52-5-3	Δ = 52	bi.bi = 5	b0.bi = 3	2 x (irr-F4-52)
vtx-F04-78-3-3	Δ = 78	bi.bi = 3	b0.bi = 3	3 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-78-6-4	Δ = 78	bi.bi = 6	b0.bi = 4	1 x (irr-F4-26) + 2 x (irr-F4-52)
vtx-F04-104-1-3	Δ = 104	bi.bi = 1	b0.bi = 3	6 x (irr-F4-26)
vtx-F04-104-4-4	Δ = 104	bi.bi = 4	b0.bi = 4	4 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-104-7-5	Δ = 104	bi.bi = 7	b0.bi = 5	2 x (irr-F4-26) + 2 x (irr-F4-52)
vtx-F04-104-10-6	Δ = 104	bi.bi = 10	b0.bi = 6	3 x (irr-F4-52)
vtx-F04-130-2-4	Δ = 130	bi.bi = 2	b0.bi = 4	7 x (irr-F4-26)
vtx-F04-130-5-5	Δ = 130	bi.bi = 5	b0.bi = 5	5 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-130-8-6	Δ = 130	bi.bi = 8	b0.bi = 6	3 x (irr-F4-26) + 2 x (irr-F4-52)
vtx-F04-130-11-7	Δ = 130	bi.bi = 11	b0.bi = 7	1 x (irr-F4-26) + 3 x (irr-F4-52)
vtx-F04-156-3-5	Δ = 156	bi.bi = 3	b0.bi = 5	8 x (irr-F4-26)
vtx-F04-156-6-6	Δ = 156	bi.bi = 6	b0.bi = 6	6 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-156-9-7	Δ = 156	bi.bi = 9	b0.bi = 7	4 x (irr-F4-26) + 2 x (irr-F4-52)
vtx-F04-156-12-8	Δ = 156	bi.bi = 12	b0.bi = 8	2 x (irr-F4-26) + 3 x (irr-F4-52)
vtx-F04-156-15-9	Δ = 156	bi.bi = 15	b0.bi = 9	4 x (irr-F4-52)
vtx-F04-182-4-6	Δ = 182	bi.bi = 4	b0.bi = 6	9 x (irr-F4-26)
vtx-F04-182-7-7	Δ = 182	bi.bi = 7	b0.bi = 7	7 x (irr-F4-26) + 1 x (irr-F4-52)
