vtx-G02-n7-n3-n1	Δ = -7	bi.bi = -3	b0.bi = -1	1 x (irr-G2-7)
vtx-G02-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-G2-14)
vtx-G02-14-n2-0	Δ = 14	bi.bi = -2	b0.bi = 0	4 x (irr-G2-7)
vtx-G02-35-n1-1	Δ = 35	bi.bi = -1	b0.bi = 1	7 x (irr-G2-7)
vtx-G02-56-0-2	Δ = 56	bi.bi = 0	b0.bi = 2	10 x (irr-G2-7)
vtx-G02-20-6-2	Δ = 20	bi.bi = 6	b0.bi = 2	1 x (irr-G2-7) + 1 x (irr-G2-27)
vtx-G02-21-1-1	Δ = 21	bi.bi = 1	b0.bi = 1	3 x (irr-G2-7) + 1 x (irr-G2-14)
vtx-G02-27-9-3	Δ = 27	bi.bi = 9	b0.bi = 3	1 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-28-4-2	Δ = 28	bi.bi = 4	b0.bi = 2	2 x (irr-G2-7) + 2 x (irr-G2-14)
vtx-G02-35-7-3	Δ = 35	bi.bi = 7	b0.bi = 3	1 x (irr-G2-7) + 3 x (irr-G2-14)
vtx-G02-41-7-3	Δ = 41	bi.bi = 7	b0.bi = 3	4 x (irr-G2-7) + 1 x (irr-G2-27)
vtx-G02-42-2-2	Δ = 42	bi.bi = 2	b0.bi = 2	6 x (irr-G2-7) + 1 x (irr-G2-14)
vtx-G02-42-10-4	Δ = 42	bi.bi = 10	b0.bi = 4	4 x (irr-G2-14)
vtx-G02-47-15-5	Δ = 47	bi.bi = 15	b0.bi = 5	1 x (irr-G2-7) + 2 x (irr-G2-27)
vtx-G02-48-10-4	Δ = 48	bi.bi = 10	b0.bi = 4	3 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-49-5-3	Δ = 49	bi.bi = 5	b0.bi = 3	5 x (irr-G2-7) + 2 x (irr-G2-14)
vtx-G02-54-18-6	Δ = 54	bi.bi = 18	b0.bi = 6	1 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-55-13-5	Δ = 55	bi.bi = 13	b0.bi = 5	2 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-56-8-4	Δ = 56	bi.bi = 8	b0.bi = 4	4 x (irr-G2-7) + 3 x (irr-G2-14)
vtx-G02-62-8-4	Δ = 62	bi.bi = 8	b0.bi = 4	7 x (irr-G2-7) + 1 x (irr-G2-27)
vtx-G02-62-16-6	Δ = 62	bi.bi = 16	b0.bi = 6	1 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-63-3-3	Δ = 63	bi.bi = 3	b0.bi = 3	9 x (irr-G2-7) + 1 x (irr-G2-14)
vtx-G02-63-11-5	Δ = 63	bi.bi = 11	b0.bi = 5	3 x (irr-G2-7) + 4 x (irr-G2-14)
vtx-G02-63-125-17	Δ = 63	bi.bi = 125	b0.bi = 17	1 x (irr-G2-77b)
vtx-G02-64-48-10	Δ = 64	bi.bi = 48	b0.bi = 10	2 x (irr-G2-7) + 1 x (irr-G2-64)
vtx-G02-68-16-6	Δ = 68	bi.bi = 16	b0.bi = 6	4 x (irr-G2-7) + 2 x (irr-G2-27)
vtx-G02-69-11-5	Δ = 69	bi.bi = 11	b0.bi = 5	6 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-69-19-7	Δ = 69	bi.bi = 19	b0.bi = 7	4 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-70-6-4	Δ = 70	bi.bi = 6	b0.bi = 4	8 x (irr-G2-7) + 2 x (irr-G2-14)
vtx-G02-70-14-6	Δ = 70	bi.bi = 14	b0.bi = 6	2 x (irr-G2-7) + 5 x (irr-G2-14)
